drop_id,measurement_id,n_true,Q_true_C,v_fall_true_m_per_s,v_rise_true_m_per_s,v_fall_measured_m_per_s,v_rise_measured_m_per_s,fall_time_measured_s,rise_time_measured_s,Q_measured_C,Q_measured_in_units_of_e
1,1,7,1.1263e-18,2.737929817097713e-05,0.0007579419664100656,2.7440139972648454e-05,0.0007255177461947845,18.221481395444254,0.6891630185786823,1.0813247421423888e-18,6.720476955515157
1,2,7,1.1263e-18,2.737929817097713e-05,0.0007579419664100656,2.5923219426288956e-05,0.000749038005128307,19.287727800234016,0.6675228714387491,1.0754971301862657e-18,6.684258111785368
1,3,7,1.1263e-18,2.737929817097713e-05,0.0007579419664100656,2.798733461731955e-05,0.0006997338044061196,17.86522392491718,0.7145574457766288,1.0575340156063478e-18,6.57261662900154
1,4,7,1.1263e-18,2.737929817097713e-05,0.0007579419664100656,2.7769356253732523e-05,0.0007553155319446785,18.005458802553058,0.661975000980943,1.1326666782412968e-18,7.039569162469216
1,5,7,1.1263e-18,2.737929817097713e-05,0.0007579419664100656,3.0485039468701264e-05,0.0007500028617246095,16.401487703939036,0.6666641229211643,1.1936631232831095e-18,7.418664532523987
1,6,7,1.1263e-18,2.737929817097713e-05,0.0007579419664100656,2.5941548659228914e-05,0.0009029189282807335,19.274099883860288,0.5537595728024667,1.2896290084691575e-18,8.015096385762321
1,7,7,1.1263e-18,2.737929817097713e-05,0.0007579419664100656,2.183028210417289e-05,0.0008427877797493692,22.90396420962532,0.5932691621948902,1.08113021632062e-18,6.719267969674457
1,8,7,1.1263e-18,2.737929817097713e-05,0.0007579419664100656,2.951267291827868e-05,0.0006744851465443152,16.941874474891257,0.7413061689523046,1.056062275470833e-18,6.563469704604307
1,9,7,1.1263e-18,2.737929817097713e-05,0.0007579419664100656,3.0473783643172323e-05,0.0007862222148035461,16.40754577293934,0.6359525215462595,1.248764294873719e-18,7.761120539923673
1,10,7,1.1263e-18,2.737929817097713e-05,0.0007579419664100656,2.6321162356124703e-05,0.0006701139068318492,18.996121570735056,0.7461418050013165,9.75429209238566e-19,6.062331940575302
2,1,8,1.2872e-18,3.108439144259647e-05,0.0008008632624372841,3.2844118713430144e-05,0.0007444461735869044,15.223425672114235,0.6716402310067506,1.2426118383278244e-18,7.72288277394546
2,2,8,1.2872e-18,3.108439144259647e-05,0.0008008632624372841,2.680115097218078e-05,0.0007725834470425529,18.65591520748467,0.6471792812983485,1.1318616426761634e-18,7.034565833910277
2,3,8,1.2872e-18,3.108439144259647e-05,0.0008008632624372841,2.9649953340489952e-05,0.0008062015989904449,16.86343294568361,0.620192270303257,1.257334220333296e-18,7.814382972860759
2,4,8,1.2872e-18,3.108439144259647e-05,0.0008008632624372841,3.053641819049472e-05,0.0008970383527553694,16.373891557315602,0.5573897687475516,1.420038871667025e-18,8.82559895380376
2,5,8,1.2872e-18,3.108439144259647e-05,0.0008008632624372841,3.32553220501415e-05,0.00078711813954651,15.035187427928474,0.635228658671327,1.3211901373794861e-18,8.211250076939006
2,6,8,1.2872e-18,3.108439144259647e-05,0.0008008632624372841,2.8264457165719268e-05,0.0008960559301458948,17.6900620121029,0.5580008827335037,1.3511886987640447e-18,8.397692347818799
2,7,8,1.2872e-18,3.108439144259647e-05,0.0008008632624372841,3.352617024746026e-05,0.0010135733531135317,14.913722513172438,0.4933042077952047,1.6944446573759853e-18,10.531041997364731
2,8,8,1.2872e-18,3.108439144259647e-05,0.0008008632624372841,3.190342176401403e-05,0.0009323466796519176,15.672300096787202,0.5362812040974609,1.5151443288579495e-18,9.416683212293036
2,9,8,1.2872e-18,3.108439144259647e-05,0.0008008632624372841,3.25168108682914e-05,0.0008077445576183033,15.3766616912476,0.6190075752095295,1.3353268352716807e-18,8.299110225429962
2,10,8,1.2872e-18,3.108439144259647e-05,0.0008008632624372841,2.6390781120394454e-05,0.0008586457440233919,18.94600988576297,0.5823123255198696,1.2415578980508292e-18,7.716332492547105
